slug,name,description,affiliateUrl,factoringType,feeMin,feeMax,minAmount,maxAmount,speedDays,onlineComplete,soleProprietorOk,weekendPayment,features,pros,cons,overallRating,rankPosition,establishedYear,targetIndustries
ace-trust,エーストラスト,"独自の柔軟な審査基準で高い契約率を誇るファクタリング会社。最短2時間で送金完了、最大5,000万円まで対応。",https://px.a8.net/svt/ejp?a8mat=4AX5KD+9TNI42+5T7O+5Z6WX,2社間,1,15,300000,50000000,1,True,False,False,最短2時間送金|柔軟な審査基準|オンライン完結|全国対応|個人事業主OK,審査が柔軟で通りやすい|入金スピードが速い|対面・オンラインどちらも対応,知名度がやや低い|手数料の幅が広い,4.3,12,2018,建設業|運送業|製造業|IT・Web|サービス業
sankyo-service,三共サービス,創業20年以上の老舗ファクタリング会社。元金融マンによる丁寧な対応と業界最安水準の手数料が魅力。,https://px.a8.net/svt/ejp?a8mat=4AX5KD+A36FSI+57YY+5YRHE,2社間・3社間,1.5,8,500000,100000000,2,False,False,False,創業20年以上|元金融マン対応|手数料が業界最安水準|最大1億円対応|法人専門,長年の実績と信頼性|手数料が低い|金融のプロによる丁寧なサポート,個人事業主は利用不可|入金まで2日程度かかる,4.3,13,2001,建設業|製造業|運送業|卸売業|人材派遣
top-management,トップ・マネジメント,累計取引件数5万件超の実績。最短即日入金、2社間・3社間両対応で幅広いニーズに応える。,https://px.a8.net/svt/ejp?a8mat=4AX5KD+9UUDBM+3JLM+5YJRM,2社間・3社間,0.5,12.5,300000,300000000,1,True,True,False,累計5万件超の実績|最大3億円対応|即日入金|オンライン完結|ゼロファクタリングプラン,豊富な取引実績で安心|大口案件にも対応可能|手数料0%のプランもある,審査基準がやや厳しい場合も|大口以外は対応が遅くなる場合も,4.2,14,2009,建設業|運送業|製造業|医療・介護|人材派遣
nishi-nihon-factor,西日本ファクター,"中国・九州エリア密着型のファクタリング会社。最短即日で1,000万円まで買取可能。地域企業に強い。",https://px.a8.net/svt/ejp?a8mat=4AX1ON+BMJR1U+3XT0+5YJRM,2社間・3社間,2.8,15,300000,30000000,1,False,True,True,中国・九州エリア特化|最短即日入金|対面相談可能|地域密着サポート|経営相談対応,西日本エリアに密着した対応|対面での丁寧な相談が可能|地域企業の事情に精通,東日本では利用しにくい|オンライン完結に非対応,4.2,15,2017,建設業|運送業|製造業|医療・介護|小売業
ad-planning,アドプランニング,手数料2%～10%の業界最安水準。10万円からの少額買取にも対応。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BSI33M+5LZE+BXB8X,2社間・3社間,2,10,100000,100000000,1,True,True,False,手数料2%〜10%|少額10万円から対応|最短30分審査|審査通過率88%|資金繰りコンサル付き,業界最安水準の手数料|少額からも利用可能|コンサルティングサービス付き,知名度がやや低い|大口案件は別途相談,4.2,16,2018,IT・Web|建設業|小売業|飲食業|サービス業
factoring-zero,ファクタリングZERO,"福岡発、西日本を中心に展開するファクタリング会社。審査通過率96%、20万円〜5,000万円まで対応。",https://px.a8.net/svt/ejp?a8mat=4AX5KD+A2L06Q+4DJO+5YJRM,2社間・3社間,1.5,10,200000,50000000,1,True,True,False,審査通過率96%|西日本に強い|診療・介護報酬対応|オンライン完結|2011年設立の実績,審査通過率が非常に高い|診療・介護報酬にも対応|西日本エリアに強い,東日本では対面対応が難しい場合あり|手数料の上限がやや高め,4.2,17,2011,建設業|医療・介護|運送業|製造業|小売業
kyoei-support,共栄サポート,中小企業向けファクタリングを提供。柔軟な審査と丁寧なサポートで初めての方にも安心。,https://px.a8.net/svt/ejp?a8mat=4AX5KD+9Q2WHE+5U8W+5YJRM,2社間,2,15,300000,30000000,1,True,False,False,中小企業向け|柔軟な審査|丁寧なサポート|オンライン完結|全国対応,審査が柔軟で通りやすい|初めてでも丁寧にサポート|中小企業のニーズに合ったサービス,大口案件には不向き|知名度がまだ低い,4.2,18,2019,小売業|飲食業|サービス業|IT・Web
alps-finance,アルプスファイナンスサービス,ファクタリング・金融サービス。地域密着型。,https://alps-finance.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,19,2018,建設業|運送業|製造業|IT・Web|サービス業
central-medience,セントラルメディエンスペイメンツ,医療・調剤報酬ファクタリング。医療機関向けの資金調達。,https://central-medience.co.jp/,3社間,1,5,300000,50000000,3,True,False,False,医療機関向け|調剤報酬対応|低手数料|全国対応|専門スタッフ,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,20,2018,医療・介護
cool-pay,CoolPay,クールペイはAIを活用したオンラインファクタリング。即日資金調達が可能。,https://cool-pay.jp/,2社間・3社間,2,12,300000,50000000,1,True,True,False,AI審査|即日入金|オンライン完結|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,21,2020,建設業|運送業|製造業|IT・Web|サービス業
e-bank,いーばんく,オンライン特化のファクタリングサービス。手軽に資金調達が可能。,https://e-bank-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,オンライン完結|即日入金|個人事業主OK|全国対応|簡単手続き,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,22,2019,建設業|運送業|製造業|IT・Web|サービス業
ebis-holdings,エビスホールディングス,ファクタリング・資金調達を提供するホールディングス会社。,https://ebis-holdings.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,23,2018,建設業|運送業|製造業|IT・Web|サービス業
factbank,ファクトバンク,ファクタリングの比較・マッチングサービス。最適な会社を紹介。,https://factbank.jp/,2社間・3社間,2,15,300000,50000000,1,True,False,False,比較サービス|マッチング|複数社提案|無料相談|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,24,2018,建設業|運送業|製造業|IT・Web|サービス業
fast-factoring,ファストファクタリング,スピード重視のファクタリング会社。最短即日入金。,https://fast-factoring.jp/,2社間・3社間,3,18,300000,50000000,1,True,True,False,最短即日|スピード審査|オンライン対応|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,25,2018,建設業|運送業|製造業|IT・Web|サービス業
growrize,グローライズ,ファクタリング・資金調達サービス。成長企業をサポート。,https://growrize.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,26,2018,建設業|運送業|製造業|IT・Web|サービス業
healthee-one,HealtheeOne,医療・ヘルスケア業界向けファクタリングサービス。,https://healthee-one.co.jp/,3社間,1,5,300000,50000000,3,True,False,False,医療業界特化|ヘルスケア対応|法人向け|全国対応|専門スタッフ,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,27,2018,医療・介護
i-service,iサービス,ファクタリングサービス。オンライン対応の資金調達。,https://i-service.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,オンライン対応|即日入金|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,28,2018,建設業|運送業|製造業|IT・Web|サービス業
ichifuku,一福,ファクタリングサービス。中小企業向け資金調達。,https://ichifuku.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,29,2018,建設業|運送業|製造業|IT・Web|サービス業
japan-trust,日本トラスト,法人向けファクタリング・資金調達サービス。信頼性の高い運営。,https://japan-trust.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,30,2018,建設業|運送業|製造業|IT・Web|サービス業
jsc-factoring,JSC,ファクタリング・資金調達サービス。法人向け。,https://jsc-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,31,2018,建設業|運送業|製造業|IT・Web|サービス業
k-support,Kサポート,ファクタリング・資金調達のサポートサービス。,https://k-support.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,32,2018,建設業|運送業|製造業|IT・Web|サービス業
kosei,コーセイ,ファクタリング・資金調達サービス。,https://kosei-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,33,2018,建設業|運送業|製造業|IT・Web|サービス業
kyushu-factor,九州ファクター,九州拠点のファクタリング会社。九州地域に密着。,https://kyushu-factor.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,九州拠点|地域密着|即日入金|個人事業主OK|対面相談可,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,34,2018,建設業|運送業|製造業|農業|サービス業
localworks-payment,ローカルワークスペイメント,地域密着型のファクタリングサービス。建設業界に強い。,https://localworks-payment.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,地域密着|建設業界に強い|即日入金|個人事業主OK|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,35,2018,建設業|運送業
make-move,メイク・ムーヴ,ファクタリングサービス。中小企業の資金調達をサポート。,https://make-move.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,36,2018,建設業|運送業|製造業|IT・Web|サービス業
meisei-enterprise,明成エンタープライズ,ファクタリング・資金調達サービス。中小企業向け。,https://meisei-enterprise.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,37,2018,建設業|運送業|製造業|IT・Web|サービス業
ms-quest,エムズクエスト,ファクタリング・資金調達コンサルティング。,https://ms-quest.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,38,2018,建設業|運送業|製造業|IT・Web|サービス業
ntt-tc-lease,NTT・TCリース,NTTグループのリース・ファクタリングサービス。,https://www.ntt-tc-lease.com/,3社間,0.5,5,10000000,50000000,5,False,False,False,NTTグループ|大手運営|法人向け|リース対応|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,39,1985,建設業|運送業|製造業|IT・Web|サービス業
rearth,REARTH,ファクタリングサービス。リアースの資金調達。,https://rearth.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,40,2018,建設業|運送業|製造業|IT・Web|サービス業
rising,ライジング,ファクタリングサービス。中小企業の資金調達をサポート。,https://rising-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,41,2018,建設業|運送業|製造業|IT・Web|サービス業
ryfety,ライフティ,ファクタリングサービス。個人事業主・法人向け資金調達。,https://ryfety.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,42,2018,建設業|運送業|製造業|IT・Web|サービス業
s-com,S-COM,エスコムのファクタリングサービス。法人向け売掛金買取。,https://s-com.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,43,2018,建設業|運送業|製造業|IT・Web|サービス業
sfi-leasing,SFIリーシング,リース・ファクタリングサービス。法人向け資金調達。,https://www.sfil.co.jp/,3社間,1,8,300000,50000000,3,False,False,False,リース対応|ファクタリング|法人向け|全国対応|大口対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,44,2005,建設業|運送業|製造業|IT・Web|サービス業
shikin-plus,SHIKIN+,資金プラスのファクタリングサービス。中小企業・個人事業主の資金繰りを支援。,https://shikin-plus.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金|個人事業主OK|オンライン対応|全国対応|少額対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,45,2018,建設業|運送業|製造業|IT・Web|サービス業
sinsia,シンシア,ファクタリング・資金調達サービス。真摯な対応。,https://sinsia.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,46,2018,建設業|運送業|製造業|IT・Web|サービス業
sk-service,SKサービス,ファクタリング・資金調達サービス。中小企業向け。,https://sk-service.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,47,2018,建設業|運送業|製造業|IT・Web|サービス業
smart-factor,スマートファクター,スマートなファクタリングサービス。オンラインで簡単手続き。,https://smartfactor.jp/,2社間・3社間,2,12,300000,50000000,1,True,True,False,オンライン完結|スマート審査|即日入金|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,48,2020,建設業|運送業|製造業|IT・Web|サービス業
smfl,SMFL,三井住友ファイナンス＆リースのファクタリングサービス。,https://www.smfl.co.jp/,3社間,0.5,3,10000000,50000000,5,False,False,False,三井住友グループ|大手金融機関|法人向け|大口対応|リース対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,49,1963,建設業|運送業|製造業|IT・Web|サービス業
sokuderu,ソクデル,即日入金に特化したファクタリングサービス。スピード重視の資金調達。,https://sokuderu.jp/,2社間・3社間,3,18,300000,50000000,1,True,True,False,即日入金特化|スピード対応|個人事業主OK|全国対応|少額OK,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,50,2018,建設業|運送業|製造業|IT・Web|サービス業
sokula,SOKULA,ソクラのファクタリングサービス。迅速な審査と入金が特長。,https://sokula.jp/,2社間・3社間,2,15,300000,50000000,1,True,True,False,迅速な審査|即日入金|オンライン対応|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,51,2018,建設業|運送業|製造業|IT・Web|サービス業
sowa-enterprise,創和エンタープライズ,ファクタリング・経営コンサルティング。中小企業向け。,https://sowa-enterprise.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,False,False,経営コンサル|ファクタリング|中小企業向け|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,52,2018,建設業|運送業|製造業|IT・Web|サービス業
taihei-fs,太平フィナンシャルサービス,ファクタリング・リースのファイナンスサービス。,https://www.taihei-fs.co.jp/,3社間,1,8,300000,50000000,3,True,False,False,リース対応|ファクタリング|法人向け|全国対応|安定経営,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,53,2000,建設業|運送業|製造業|IT・Web|サービス業
tomin-shinpan,トミンシンパン,東京・都民信販のファクタリングサービス。首都圏に強い。,https://www.tomin.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,東京拠点|首都圏に強い|即日入金|個人事業主OK|対面相談可,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,54,2000,建設業|運送業|製造業|IT・Web|サービス業
tranzax,Tranzax,電子記録債権を活用したファクタリングサービス。,https://tranzax.co.jp/,3社間,1,5,300000,50000000,3,True,False,False,電子記録債権|テクノロジー活用|法人向け|全国対応|低手数料,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,55,2016,建設業|運送業|製造業|IT・Web|サービス業
trust-pay,トラストペイ,メディアプロが運営するトラストペイ。ファクタリングサービス。,https://trust-pay.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,56,2018,建設業|運送業|製造業|IT・Web|サービス業
unity-factoring,UNITY,ファクタリングサービス。法人・個人事業主対応。,https://unity-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,57,2018,建設業|運送業|製造業|IT・Web|サービス業
zen-confiance,善コンフィアンス,ファクタリングサービス。中小企業向け資金調達。,https://zen-confiance.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,58,2018,建設業|運送業|製造業|IT・Web|サービス業
zerofac,ZEROファク,手数料の低さが特長のファクタリングサービス。,https://zerofac.jp/,2社間・3社間,1,10,300000,50000000,1,True,True,False,低手数料|即日入金|オンライン対応|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.3,59,2018,建設業|運送業|製造業|IT・Web|サービス業
next-one,ネクストワン,建設業・医療業界に特化したファクタリング会社。業界特有の支払いサイトの長さや売掛金の特性を熟知しており、専門性の高い審査と柔軟な対応が強みです。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BRB7W2+4OCU+5ZMCH,2社間・3社間,1.5,10,300000,50000000,1,False,False,False,建設・医療業界特化|診療報酬ファクタリング対応|業界専門スタッフ在籍|即日入金可能|出張対応あり,建設・医療業界への深い理解と柔軟な審査|診療報酬債権にも対応|出張面談で地方企業にも対応,対応業界以外の審査はやや時間がかかる|オンライン完結に対応していない,4.0,60,2019,建設業|医療・介護|調剤薬局|歯科|土木業
3s-factoring,3S,スリーエスのファクタリングサービス。少額から大口まで対応。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BPIX2Q+5QRM+5YJRM,2社間・3社間,2,19,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,4.0,61,2018,建設業|運送業|製造業|IT・Web|サービス業
act-will,アクト・ウィル,最高1億円までの大口ファクタリングに対応。審査通過率90%以上、最短即日で入金可能。,https://px.a8.net/svt/ejp?a8mat=4AX1OL+BIDPTE+5KPA+BWVTE,2社間・3社間,10,20,300000,100000000,1,False,False,False,最高1億円対応|審査通過率90%以上|即日入金可能|大口案件に強い|全国出張対応,大口の資金調達に対応|審査通過率が高い|全国出張対応で地方でも安心,オンライン完結に非対応|少額案件には不向き,4.0,62,2017,建設業|運送業|製造業|不動産業|卸売業
ennavi,えんナビ,24時間365日スタッフ対応。最短1日で資金化可能、少額から売掛債権の買取に対応。,https://px.a8.net/svt/ejp?a8mat=4AX0WK+FOEY9E+44CA+61C2P,2社間・3社間,5,20,300000,50000000,1,True,True,False,24時間365日対応|最短1日入金|全国対応|オンライン完結|秘密厳守,24時間いつでも相談できる|全国どこからでも利用可能|秘密厳守で安心,手数料がやや高め|即日ではなく翌日になる場合も,4.0,63,2017,建設業|運送業|製造業|小売業|サービス業
factorplan,ファクタープラン,「会わずに、迷わず、すぐ進む」がコンセプト。最短4時間で資金化、調達成功率95.2%。,https://px.a8.net/svt/ejp?a8mat=4AX5KD+A079RM+5RC6+5YJRM,2社間,3,18,100000,50000000,1,True,True,False,最短4時間で資金化|調達成功率95.2%|スマホで完結|全国対応|リピート率92.7%,スマホだけで申込から契約まで完結|調達成功率が非常に高い|チャットで進捗確認可能,2社間ファクタリングのみ|手数料がやや高めの場合がある,4.0,64,2019,建設業|IT・Web|広告・メディア|運送業|製造業
japan-management,ジャパンマネジメント,東京・福岡の2拠点で全国対応。2社間・3社間両対応、24時間相談受付で最短即日審査完了。,https://px.a8.net/svt/ejp?a8mat=4AX1ON+BN56NM+3V6A+5YJRM,2社間・3社間,3,20,500000,50000000,1,False,False,True,東京・福岡2拠点|24時間相談対応|全国出張可能|3社間で手数料優遇|即日審査完了,24時間いつでも相談できる|2拠点で広いエリアをカバー|対面での丁寧なサポート,オンライン完結ではない|手数料の上限がやや高め,4.0,65,2016,建設業|運送業|製造業|医療・介護|飲食業
